session;group;item_no;type;condition;cond_name;sentence;is_question;question_type;np_in_question;question;corr_answ;target_np_gender;words_in_sentence;word_no_subject;word_no_distractor;word_no_critical
1;1;11;experimental;c;HiSyn/LoSem;Der Chefredakteur vermutete, dass der Mitarbeiter, der erfahren hatte, dass die Geschichte erfunden war, auch gelegentlich schwindelte, um interessantere Artikel zu schreiben.;yes;intro_verb;intro;Vermutete es der Chefredakteur?;j;masc;22;6;12;17
1;1;12;experimental;d;HiSyn/HiSem;Der Vormund ahnte, dass der Ersttäter, der gedacht hatte, dass der Bewährungshelfer überflüssig war, ganz bewusst provozierte, um ihn zu ärgern.;yes;intro_verb;target;War es der Ersttäter, der das ahnte?;f;masc;21;6;12;17
1;1;13;experimental;a;LoSyn/LoSem;Der Protokollant dokumentierte, dass die Beschuldigte, die auf die milde Geldstrafe gehofft hatte, immer wieder weinte, weil sie Reue empfand.;yes;intro_verb;target;War es die Beschuldigte, die es dokumentierte?;f;fem;20;6;11;16
1;1;14;experimental;b;LoSyn/HiSem;Der Lotse veranlasste, dass die Pilotin, die von dem verspäteten Urlauber erfahren hatte, noch nicht startete, obwohl die Zeit drängte.;yes;intro_verb;target;War es die Pilotin, die das veranlasste?;f;fem;20;6;11;16
1;1;15;experimental;c;HiSyn/LoSem;Der Wirt bemerkte, dass die Kellnerin, die geschimpft hatte, dass die Bezahlung schlecht war, stets freundlich grüßte, wenn Gäste das Restaurant betraten.;yes;intro_verb;intro;War es der Wirt, der das bemerkte?;j;fem;22;6;12;17
1;1;16;experimental;d;HiSyn/HiSem;Die Ladeninhaberin vermutete, dass der Friseur, der geschwärmt hatte, dass die Kundin toll war, immer unentwegt plauderte, um das Klischee zu erfüllen.;yes;relcl_verb;target;War es der Friseur, der geschwärmt hatte?;j;masc;22;6;12;17
1;1;17;experimental;a;LoSyn/LoSem;Der Thronfolger offenbarte, dass der König, der mit der gnadenlosen Vergeltung gedroht hatte, noch nicht abdankte, obwohl er krank war.;yes;relcl_verb;intro;War es der Thronfolger, der gedroht hatte?;f;masc;20;6;11;16
1;1;18;experimental;b;LoSyn/HiSem;Der Reporter hörte, dass der Boxer, der über den unfairen Ringrichter gemeckert hatte, angeblich häufig schummelte, um den Sieg zu holen.;yes;relcl_verb;target;War es der Boxer, der gemeckert hatte?;j;masc;21;6;11;16
1;1;19;experimental;c;HiSyn/LoSem;Der Butler flüsterte, dass die Königin, die argumentiert hatte, dass die Hochzeit unstandesgemäß war, offenbar heimlich rauchte, obwohl ihr Arzt davon abgeraten hatte.;yes;relcl_verb;intro;War es der Butler, der so argumentiert hatte?;f;fem;23;6;12;17
1;1;20;experimental;d;HiSyn/HiSem;Die Lehrerin empfahl, dass die Schülerin, die geschwärmt hatte, dass die Schwester witzig war, nachmittags fleißig lernte, um eine gute Note zu bekommen.;yes;relcl_verb;target;War es die Schülerin, die geschwärmt hatte?;j;fem;23;6;12;17
1;1;21;experimental;a;LoSyn/LoSem;Der Aufsichtsrat ahnte, dass der Börsenmakler, der von der raffinierten Investition gewusst hatte, wiederholt hinterhältig betrog, um Schulden zu begleichen.;no;;;;;masc;20;6;11;16
1;1;22;experimental;b;LoSyn/HiSem;Der Auftraggeber würdigte, dass der Statiker, der mit dem optimalen Lieferanten kalkuliert hatte, sehr geschickt plante, um die Fensterfront zu vergrößern.;no;;;;;masc;21;6;11;16
1;1;23;experimental;c;HiSyn/LoSem;Der Teamarzt befürchtete, dass der Radprofi, der bezweifelt hatte, dass das Heilverfahren angenehm war, noch langfristig ausfiel, weil er unvernünftig war.;no;;;;;masc;21;6;12;17
1;1;24;experimental;d;HiSyn/HiSem;Der Sachbearbeiter hoffte, dass der Asylbewerber, der berichtet hatte, dass der Dolmetscher notwendig war, noch pünktlich anrief, um einen guten Eindruck zu machen.;no;;;;;masc;23;6;12;17
1;1;25;experimental;a;LoSyn/LoSem;Die Küstenwache dokumentierte, dass die Taucherin, die von dem alten Schiffswrack erzählt hatte, früh morgens aufbrach, obwohl ein Gewitter aufzog.;no;;;;;fem;20;6;11;16
1;1;26;experimental;b;LoSyn/HiSem;Der Kardiologe erwartete, dass die Apothekerin, die vor dem komplizierten Patienten gewarnt hatte, gewohnt professionell arbeitete, weil sie einen guten Ruf hatte.;no;;;;;fem;22;6;11;16
1;1;27;experimental;c;HiSyn/LoSem;Der Komiker kritisierte, dass der Manager, der gehört hatte, dass der Witz einfallslos war, häufig ausgiebig lästerte, um von eigenen Fehlern abzulenken.;no;;;;;masc;22;6;12;17
1;1;28;experimental;d;HiSyn/HiSem;Der Nachfolger erwartete, dass der Geschäftsführer, der gehofft hatte, dass der Mediator erfolgreich war, jetzt schleunigst zurücktrat, um Platz zu machen.;no;;;;;masc;21;6;12;17
1;1;29;experimental;a;LoSyn/LoSem;Der Parkwächter beobachtete, dass die Tierpflegerin, die über das unzureichende Gehege gemeckert hatte, noch geistesgegenwärtig eingriff, bevor eines der Tiere ausbrechen konnte.;no;;;;;fem;22;6;11;16
1;1;30;experimental;b;LoSyn/HiSem;Die Freundin beobachtete, dass die Veganerin, die an den ungewöhnlichen Ernährungsberater geglaubt hatte, bewusst ausgewogen kochte, um eventuelle Mangelerscheinungen zu vermeiden.;no;;;;;fem;21;6;11;16
1;1;31;experimental;c;HiSyn/LoSem;Die Verkäuferin erwartete, dass die Frau, die gehofft hatte, dass die Reparatur günstig war, noch abends wiederkam, um ihre Schuhe abzuholen.;no;;;;;fem;21;6;12;17
1;1;32;experimental;d;HiSyn/HiSem;Der Projektmanager ahnte, dass der Programmierer, der gelästert hatte, dass der Berater stressig war, einfach maßlos übertrieb, um sich aus der Verantwortung zu ziehen.;no;;;;;masc;24;6;12;17
1;1;33;experimental;a;LoSyn/LoSem;Die Investorin erwartete, dass die Konzernchefin, die über den fragwürdigen Vertrag geklagt hatte, weiterhin gewinnbringend agierte, um schwarze Zahlen zu schreiben.;no;;;;;fem;21;6;11;16
1;1;34;experimental;b;LoSyn/HiSem;Der Teamleiter erkannte, dass die Beamte, die über den unproduktiven Werksstudenten genörgelt hatte, sehr eifrig tippte, um pünktlich nach Hause gehen zu können.;no;;;;;fem;23;6;11;16
1;1;35;experimental;c;HiSyn/LoSem;Der Radfahrer sah, dass der Fahrlehrer, der aufgepasst hatte, dass die Fahrweise vorsichtig war, ganz plötzlich bremste, um einen Unfall zu vermeiden.;no;;;;;masc;22;6;12;17
1;1;36;experimental;d;HiSyn/HiSem;Der Regisseur erkannte, dass die Schauspielerin, die geschimpft hatte, dass der Techniker schlecht war, immer ehrgeizig probte, um ihre Darbietung zu verbessern.;no;;;;;fem;22;6;12;17
1;1;37;experimental;a;LoSyn/LoSem;Der Staatsanwalt sagte, dass die Zeugin, die über den brutalen Angriff ausgesagt hatte, weiterhin bereitwillig kooperierte, weil sie Gerechtigkeit wollte.;no;;;;;fem;20;6;11;16
1;1;38;experimental;b;LoSyn/HiSem;Der Referent lobte, dass der Menschenrechtler, der über den erfolgreichen Anwalt berichtet hatte, weiterhin aufopferungsvoll kämpfte, um das Leid zu mindern.;no;;;;;masc;21;6;11;16
1;1;39;experimental;c;HiSyn/LoSem;Der Ingenieur erkannte, dass die Architektin, die geschwärmt hatte, dass der Entwurf ausgefallen war, nicht sinnvoll kalkulierte, weil sie eigene Ziele verfolgte.;no;;;;;fem;22;6;12;17
1;1;40;experimental;d;HiSyn/HiSem;Der Pastor dachte, dass die Musikerin, die genörgelt hatte, dass der Messdiener verstimmt war, etwas empfindlich reagierte, weil das Konzert wichtig war.;no;;;;;fem;22;6;12;17
1;1;41;experimental;a;LoSyn/LoSem;Die Esoterikerin befürwortete, dass die Bekannte, die von dem brillanten Programm erzählt hatte, sonntags oft ausschlief, um entspannt in den Tag zu starten.;no;;;;;fem;23;6;11;16
1;1;42;experimental;b;LoSyn/HiSem;Die Lektorin bewunderte, dass die Autorin, die über den unseriösen Verleger ausgesagt hatte, sehr gewissenhaft weitermachte, um Missstände offenzulegen.;no;;;;;fem;19;6;11;16
1;1;43;experimental;c;HiSyn/LoSem;Der Onkel befürwortete, dass die Nichte, die erwartet hatte, dass die Feier ausgelassen war, einfach allein tanzte, weil ihr Freund nicht wollte.;no;;;;;fem;22;6;12;17
1;1;44;experimental;d;HiSyn/HiSem;Der Klinikleiter befürwortete, dass die Urologin, die beklagt hatte, dass der Pfleger stümperhaft war, auch weiterhin praktizierte, weil sie recht hatte.;no;;;;;fem;21;6;12;17
1;1;45;experimental;a;LoSyn/LoSem;Der Ermittler befürchtete, dass der Verdächtige, der über die skrupellose Tat ausgesagt hatte, noch weiter mordete, um Rache zu nehmen.;no;;;;;masc;20;6;11;16
1;1;46;experimental;b;LoSyn/HiSem;Die Rentnerin glaubte, dass der Verkäufer, der von dem kulanten Hersteller erzählt hatte, sicherlich gern half, wenn Probleme aufträten.;no;;;;;masc;19;6;11;16
1;1;47;experimental;c;HiSyn/LoSem;Der Konzernchef wollte, dass der Biologe, der gehört hatte, dass der Ansatz vielversprechend war, dennoch geduldig wartete, bevor weitere Schritte unternommen wurden.;no;;;;;masc;22;6;12;17
1;1;48;experimental;d;HiSyn/HiSem;Der Oppositionsführer behauptete, dass der Präsident, der gewusst hatte, dass der Diplomat gescheitert war, nur erneut kandidierte, um seine Immunität zu behalten.;no;;;;;masc;22;6;12;17
1;1;49;experimental;a;LoSyn/LoSem;Der Außenminister verurteilte, dass der Diktator, der von dem unmenschlichen Gefängnis gewusst hatte, weiterhin skrupellos regierte, obwohl es Proteste gab.;no;;;;;masc;20;6;11;16
1;1;50;experimental;b;LoSyn/HiSem;Der Anästhesist wusste, dass die Ärztin, die vor dem riskanten Wunderheiler gewarnt hatte, dennoch konzentriert operierte, weil es ihre Berufsehre verlangte.;no;;;;;fem;21;6;11;16
1;1;51;experimental;c;HiSyn/LoSem;Der Inhaber respektierte, dass der Personalchef, der bezweifelt hatte, dass die Qualifikation ausreichend war, letztendlich intuitiv entschied, weil er viel Erfahrung hatte.;no;;;;;masc;22;6;12;17
1;1;52;experimental;d;HiSyn/HiSem;Der Bruder berichtete, dass der Kranke, der gehört hatte, dass der Heilpraktiker alternativ war, zusätzlich regelmäßig meditierte, um die Schmerzen zu lindern.;no;;;;;masc;22;6;12;17
1;1;53;experimental;a;LoSyn/LoSem;Der Investor befürchtete, dass der Eigentümer, der von dem guten Angebot erzählt hatte, einfach voreilig verkaufte, bevor Gewinne maximiert wurden.;no;;;;;masc;20;6;11;16
1;1;54;experimental;b;LoSyn/HiSem;Der Auszubildende bemerkte, dass der Schreiner, der auf den pünktlichen Spediteur gewartet hatte, laut ungehalten schimpfte, als der Termin verstrich.;no;;;;;masc;20;6;11;16
1;1;55;experimental;c;HiSyn/LoSem;Der Schneider erzählte, dass der Designer, der verlangt hatte, dass das Material exklusiv war, oftmals gedankenlos einkaufte, ohne Preise zu beachten.;no;;;;;masc;21;6;12;17
1;1;56;experimental;d;HiSyn/HiSem;Der Nachrichtensprecher berichtete, dass die Ministerin, die gespottet hatte, dass der Kandidat umstritten war, plötzlich beharrlich schwieg, um ihre Partei zu schützen.;no;;;;;fem;22;6;12;17
1;1;57;experimental;a;LoSyn/LoSem;Der Angehörige hörte, dass die Suchtkranke, die von der renommierten Klinik gewusst hatte, weiter entschlossen durchhielt, um ihre Ehe zu retten.;no;;;;;fem;21;6;11;16
1;1;58;experimental;b;LoSyn/HiSem;Die Kita-Leiterin kritisierte, dass die Mutter, die über die lieblose Erzieherin geschimpft hatte, zu spät kam, um ihr Kind abzuholen.;no;;;;;fem;20;6;11;16
1;1;59;experimental;c;HiSyn/LoSem;Der Direktor sagte, dass der Junge, der gedacht hatte, dass die Klassenarbeit ungerecht war, auffällig häufig nachfragte, um Unklarheiten zu klären.;no;;;;;masc;21;6;12;17
1;1;60;experimental;d;HiSyn/HiSem;Der Assistent hoffte, dass die Dichterin, die geträumt hatte, dass der Kritiker hartnäckig war, dennoch weiter schrieb, um das Werk zu vollenden.;no;;;;;fem;22;6;12;17
1;2;1;experimental;b;LoSyn/HiSem;Der Journalist entdeckte, dass die Kollegin, die von dem grauenhaften Vorgesetzten berichtet hatte, gelegentlich schamlos log, um Informationen zu erhalten.;yes;main_verb;distractor;War es der Vorgesetzte, der schamlos log?;f;fem;20;6;11;16
1;2;2;experimental;c;HiSyn/LoSem;Der Professor bemerkte, dass die Studentin, die argumentiert hatte, dass das Experiment umstritten war, sehr sorgfältig argumentierte, um das Gremium zu überzeugen.;yes;main_verb;target;War es die Studentin, die sehr sorgfältig argumentierte?;j;fem;22;6;12;17
1;2;3;experimental;d;HiSyn/HiSem;Der Passagier ahnte, dass die Flugbegleiterin, die geschimpft hatte, dass der Sitznachbar lästig war, dennoch freundlich lächelte, weil es von ihr erwartet wurde.;yes;main_verb;distractor;War es der Sitznachbar, der dennoch lächelte?;f;fem;23;6;12;17
1;2;4;experimental;a;LoSyn/LoSem;Der Lehrer vermutete, dass der Schüler, der von dem unangenehmen Ausflug berichtet hatte, mehrfach aggressiv brüllte, um einen Streit zu provozieren.;yes;main_verb;target;War es der Schüler, der aggressiv brüllte?;j;masc;21;6;11;16
1;2;5;experimental;b;LoSyn/HiSem;Der Architekt erzählte, dass der Maurer, der über den schlechten Leiharbeiter genörgelt hatte, immer besonders aufpasste, um Fehler zu vermeiden.;yes;main_verb;distractor;War es der Leiharbeiter, der besonders aufpasste?;f;masc;20;6;11;16
1;2;6;experimental;c;HiSyn/LoSem;Der Trauzeuge sah, dass der Bräutigam, der geprahlt hatte, dass die Kreuzfahrt glamourös war, leider ungünstig stolperte, wodurch er sich den Knöchel verstauchte.;yes;adj;distractor;War die Kreuzfahrt glamourös?;j;masc;23;6;12;17
1;2;7;experimental;d;HiSyn/HiSem;Der Laborleiter wusste, dass der Wissenschaftler, der gejammert hatte, dass die Laborantin unzuverlässig war, alles gewissenhaft dokumentierte, um den Überblick zu behalten.;yes;adj;target;War der Wissenschaftler unzuverlässig?;f;masc;22;6;12;17
1;2;8;experimental;a;LoSyn/LoSem;Die Aushilfe sagte, dass der Bäcker, der über die dreiste Bestellung gemeckert hatte, morgens immer hetzte, um alles fertig zu kriegen.;yes;adj;distractor;War die Bestellung dreist?;j;masc;21;6;11;16
1;2;9;experimental;b;LoSyn/HiSem;Der Naturschützer bewunderte, dass die Aktivistin, die vor der gefährlichen Politikerin gewarnt hatte, weiterhin friedlich demonstrierte, um eine Veränderung zu bewirken.;yes;adj;target;War die Aktivistin gefährlich?;f;fem;21;6;11;16
1;2;10;experimental;c;HiSyn/LoSem;Die Sekretärin erklärte, dass die Steuerberaterin, die gewarnt hatte, dass die Software unzuverlässig war, immer noch telefonierte, um eine Fristverlängerung zu erwirken.;yes;adj;distractor;War die Software unzuverlässig?;j;fem;22;6;12;17
1;2;11;experimental;d;HiSyn/HiSem;Der Chefredakteur vermutete, dass der Mitarbeiter, der erfahren hatte, dass der Erpresser erfunden war, auch gelegentlich schwindelte, um interessantere Artikel zu schreiben.;yes;intro_verb;target;Vermutete es der Mitarbeiter?;f;masc;22;6;12;17
1;2;12;experimental;a;LoSyn/LoSem;Der Vormund ahnte, dass der Ersttäter, der an die überflüssige Maßnahme gedacht hatte, ganz bewusst provozierte, um ihn zu ärgern.;yes;intro_verb;intro;War es der Vormund, der das ahnte?;j;masc;20;6;11;16
1;2;13;experimental;b;LoSyn/HiSem;Der Protokollant dokumentierte, dass die Beschuldigte, die auf den milden Richter gehofft hatte, immer wieder weinte, weil sie Reue empfand.;yes;intro_verb;intro;War es der Protokollant, der es dokumentierte?;j;fem;20;6;11;16
1;2;14;experimental;c;HiSyn/LoSem;Der Lotse veranlasste, dass die Pilotin, die erfahren hatte, dass das Gepäck verspätet war, noch nicht startete, obwohl die Zeit drängte.;yes;intro_verb;intro;War es der Lotse, der das veranlasste?;j;fem;21;6;12;17
1;2;15;experimental;d;HiSyn/HiSem;Der Wirt bemerkte, dass die Kellnerin, die geschimpft hatte, dass der Koch schlecht war, stets freundlich grüßte, wenn Gäste das Restaurant betraten.;yes;intro_verb;target;War es die Kellnerin, die das bemerkte?;f;fem;22;6;12;17
1;2;16;experimental;a;LoSyn/LoSem;Die Ladeninhaberin vermutete, dass der Friseur, der von der tollen Schere geschwärmt hatte, immer unentwegt plauderte, um das Klischee zu erfüllen.;yes;relcl_verb;intro;War es die Ladeninhaberin, die geschwärmt hatte?;f;masc;21;6;11;16
1;2;17;experimental;b;LoSyn/HiSem;Der Thronfolger offenbarte, dass der König, der mit dem gnadenlosen Handlanger gedroht hatte, noch nicht abdankte, obwohl er krank war.;yes;relcl_verb;target;War es der König, der gedroht hatte?;j;masc;20;6;11;16
1;2;18;experimental;c;HiSyn/LoSem;Der Reporter hörte, dass der Boxer, der gemeckert hatte, dass der Kampf unfair war, angeblich häufig schummelte, um den Sieg zu holen.;yes;relcl_verb;intro;War es der Reporter, der gemeckert hatte?;f;masc;22;6;12;17
1;2;19;experimental;d;HiSyn/HiSem;Der Butler flüsterte, dass die Königin, die argumentiert hatte, dass die Verlobte unstandesgemäß war, offenbar heimlich rauchte, obwohl ihr Arzt davon abgeraten hatte.;yes;relcl_verb;target;War es die Königin, die so argumentiert hatte?;j;fem;23;6;12;17
1;2;20;experimental;a;LoSyn/LoSem;Die Lehrerin empfahl, dass die Schülerin, die von dem witzigen Film geschwärmt hatte, nachmittags fleißig lernte, um eine gute Note zu bekommen.;yes;relcl_verb;intro;War es die Lehrerin, die geschwärmt hatte?;f;fem;22;6;11;16
1;2;21;experimental;b;LoSyn/HiSem;Der Aufsichtsrat ahnte, dass der Börsenmakler, der von dem raffinierten Informanten gewusst hatte, wiederholt hinterhältig betrog, um Schulden zu begleichen.;no;;;;;masc;20;6;11;16
1;2;22;experimental;c;HiSyn/LoSem;Der Auftraggeber würdigte, dass der Statiker, der kalkuliert hatte, dass der Untergrund optimal war, sehr geschickt plante, um die Fensterfront zu vergrößern.;no;;;;;masc;22;6;12;17
1;2;23;experimental;d;HiSyn/HiSem;Der Teamarzt befürchtete, dass der Radprofi, der bezweifelt hatte, dass der Sponsor angenehm war, noch langfristig ausfiel, weil er unvernünftig war.;no;;;;;masc;21;6;12;17
1;2;24;experimental;a;LoSyn/LoSem;Der Sachbearbeiter hoffte, dass der Asylbewerber, der von der notwendigen Flucht berichtet hatte, noch pünktlich anrief, um einen guten Eindruck zu machen.;no;;;;;masc;22;6;11;16
1;2;25;experimental;b;LoSyn/HiSem;Die Küstenwache dokumentierte, dass die Taucherin, die von dem alten Fischer erzählt hatte, früh morgens aufbrach, obwohl ein Gewitter aufzog.;no;;;;;fem;20;6;11;16
1;2;26;experimental;c;HiSyn/LoSem;Der Kardiologe erwartete, dass die Apothekerin, die gewarnt hatte, dass die Dosierung kompliziert war, gewohnt professionell arbeitete, weil sie einen guten Ruf hatte.;no;;;;;fem;23;6;12;17
1;2;27;experimental;d;HiSyn/HiSem;Der Komiker kritisierte, dass der Manager, der gehört hatte, dass der Konkurrent einfallslos war, häufig ausgiebig lästerte, um von eigenen Fehlern abzulenken.;no;;;;;masc;22;6;12;17
1;2;28;experimental;a;LoSyn/LoSem;Der Nachfolger erwartete, dass der Geschäftsführer, der auf den erfolgreichen Abschluss gehofft hatte, jetzt schleunigst zurücktrat, um Platz zu machen.;no;;;;;masc;20;6;11;16
1;2;29;experimental;b;LoSyn/HiSem;Der Parkwächter beobachtete, dass die Tierpflegerin, die über den unzureichenden Veterinär gemeckert hatte, noch geistesgegenwärtig eingriff, bevor eines der Tiere ausbrechen konnte.;no;;;;;fem;22;6;11;16
1;2;30;experimental;c;HiSyn/LoSem;Die Freundin beobachtete, dass die Veganerin, die geglaubt hatte, dass die Ernährungsweise ungewöhnlich war, bewusst ausgewogen kochte, um eventuelle Mangelerscheinungen zu vermeiden.;no;;;;;fem;22;6;12;17
1;2;31;experimental;d;HiSyn/HiSem;Die Verkäuferin erwartete, dass die Frau, die gehofft hatte, dass der Schuster günstig war, noch abends wiederkam, um ihre Schuhe abzuholen.;no;;;;;fem;21;6;12;17
1;2;32;experimental;a;LoSyn/LoSem;Der Projektmanager ahnte, dass der Programmierer, der über den stressigen Auftrag gelästert hatte, einfach maßlos übertrieb, um sich aus der Verantwortung zu ziehen.;no;;;;;masc;23;6;11;16
1;2;33;experimental;b;LoSyn/HiSem;Die Investorin erwartete, dass die Konzernchefin, die über die fragwürdige Personalrätin geklagt hatte, weiterhin gewinnbringend agierte, um schwarze Zahlen zu schreiben.;no;;;;;fem;21;6;11;16
1;2;34;experimental;c;HiSyn/LoSem;Der Teamleiter erkannte, dass die Beamte, die genörgelt hatte, dass das Meeting unproduktiv war, sehr eifrig tippte, um pünktlich nach Hause gehen zu können.;no;;;;;fem;24;6;12;17
1;2;35;experimental;d;HiSyn/HiSem;Der Radfahrer sah, dass der Fahrlehrer, der aufgepasst hatte, dass der Jugendliche vorsichtig war, ganz plötzlich bremste, um einen Unfall zu vermeiden.;no;;;;;masc;22;6;12;17
1;2;36;experimental;a;LoSyn/LoSem;Der Regisseur erkannte, dass die Schauspielerin, die über das schlechte Licht geschimpft hatte, immer ehrgeizig probte, um ihre Darbietung zu verbessern.;no;;;;;fem;21;6;11;16
1;2;37;experimental;b;LoSyn/HiSem;Der Staatsanwalt sagte, dass die Zeugin, die über den brutalen Attentäter ausgesagt hatte, weiterhin bereitwillig kooperierte, weil sie Gerechtigkeit wollte.;no;;;;;fem;20;6;11;16
1;2;38;experimental;c;HiSyn/LoSem;Der Referent lobte, dass der Menschenrechtler, der berichtet hatte, dass die Rettung erfolgreich war, weiterhin aufopferungsvoll kämpfte, um das Leid zu mindern.;no;;;;;masc;22;6;12;17
1;2;39;experimental;d;HiSyn/HiSem;Der Ingenieur erkannte, dass die Architektin, die geschwärmt hatte, dass der Künstler ausgefallen war, nicht sinnvoll kalkulierte, weil sie eigene Ziele verfolgte.;no;;;;;fem;22;6;12;17
1;2;40;experimental;a;LoSyn/LoSem;Der Pastor dachte, dass die Musikerin, die über die verstimmte Orgel genörgelt hatte, etwas empfindlich reagierte, weil das Konzert wichtig war.;no;;;;;fem;21;6;11;16
1;2;41;experimental;b;LoSyn/HiSem;Die Esoterikerin befürwortete, dass die Bekannte, die von der brillanten Therapeutin erzählt hatte, sonntags oft ausschlief, um entspannt in den Tag zu starten.;no;;;;;fem;23;6;11;16
1;2;42;experimental;c;HiSyn/LoSem;Die Lektorin bewunderte, dass die Autorin, die ausgesagt hatte, dass der Verlag unseriös war, sehr gewissenhaft weitermachte, um Missstände offenzulegen.;no;;;;;fem;20;6;12;17
1;2;43;experimental;d;HiSyn/HiSem;Der Onkel befürwortete, dass die Nichte, die erwartet hatte, dass das Geburtstagskind ausgelassen war, einfach allein tanzte, weil ihr Freund nicht wollte.;no;;;;;fem;22;6;12;17
1;2;44;experimental;a;LoSyn/LoSem;Der Klinikleiter befürwortete, dass die Urologin, die über die stümperhafte Naht geklagt hatte, auch weiterhin praktizierte, weil sie recht hatte.;no;;;;;fem;20;6;11;16
1;2;45;experimental;b;LoSyn/HiSem;Der Ermittler befürchtete, dass der Verdächtige, der über den skrupellosen Anführer ausgesagt hatte, noch weiter mordete, um Rache zu nehmen.;no;;;;;masc;20;6;11;16
1;2;46;experimental;c;HiSyn/LoSem;Die Rentnerin glaubte, dass der Verkäufer, der erzählt hatte, dass der Umtausch kulant war, sicherlich gern half, wenn Probleme aufträten.;no;;;;;masc;20;6;12;17
1;2;47;experimental;d;HiSyn/HiSem;Der Konzernchef wollte, dass der Biologe, der gehört hatte, dass der Bewerber vielversprechend war, dennoch geduldig wartete, bevor weitere Schritte unternommen wurden.;no;;;;;masc;22;6;12;17
1;2;48;experimental;a;LoSyn/LoSem;Der Oppositionsführer behauptete, dass der Präsident, der von dem gescheiterten Gespräch gewusst hatte, nur erneut kandidierte, um seine Immunität zu behalten.;no;;;;;masc;21;6;11;16
1;2;49;experimental;b;LoSyn/HiSem;Der Außenminister verurteilte, dass der Diktator, der von dem unmenschlichen Funktionär gewusst hatte, weiterhin skrupellos regierte, obwohl es Proteste gab.;no;;;;;masc;20;6;11;16
1;2;50;experimental;c;HiSyn/LoSem;Der Anästhesist wusste, dass die Ärztin, die gewarnt hatte, dass der Fallschirmsprung riskant war, dennoch konzentriert operierte, weil es ihre Berufsehre verlangte.;no;;;;;fem;22;6;12;17
1;2;51;experimental;d;HiSyn/HiSem;Der Inhaber respektierte, dass der Personalchef, der bezweifelt hatte, dass die Bewerberin ausreichend war, letztendlich intuitiv entschied, weil er viel Erfahrung hatte.;no;;;;;masc;22;6;12;17
1;2;52;experimental;a;LoSyn/LoSem;Der Bruder berichtete, dass der Kranke, der von dem alternativen Medikament gehört hatte, zusätzlich regelmäßig meditierte, um die Schmerzen zu lindern.;no;;;;;masc;21;6;11;16
